Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
12/17/1999,0.90067,0.910714,0.879464,0.892857,495006400,0.0279,0.7575,0.8908,0.767,0.6436,0.0538,0.0586,-0.0048
12/20/1999,0.888951,0.889509,0.862723,0.875,283987200,0.0256,0.7571,0.8896,0.769,0.649,0.0492,0.0583,-0.0091
12/21/1999,0.876674,0.920201,0.874442,0.915179,307596800,0.0387,0.7558,0.8879,0.773,0.6598,0.0386,0.0561,-0.0175
12/22/1999,0.918527,0.933594,0.881696,0.892299,327073600,0.044,0.758,0.8862,0.776,0.6669,0.0274,0.0524,-0.025
12/23/1999,0.90904,0.930804,0.902344,0.924107,229532800,0.0326,0.7591,0.886,0.779,0.6737,0.0146,0.047,-0.0324
12/27/1999,0.93192,0.932478,0.886161,0.886719,168392000,0.0393,0.7621,0.8848,0.781,0.6781,0.0031,0.0404,-0.0373
12/28/1999,0.885045,0.889509,0.848214,0.876674,247576000,0.035,0.7609,0.8834,0.782,0.6823,-0.0067,0.0329,-0.0396
12/29/1999,0.864397,0.912388,0.852679,0.898996,284502400,0.0506,0.7582,0.8831,0.783,0.6848,-0.0142,0.0248,-0.039
12/30/1999,0.912388,0.929688,0.889509,0.895647,207144000,0.0341,0.7597,0.8826,0.782,0.6831,-0.0173,0.0165,-0.0338
12/31/1999,0.901228,0.918527,0.888393,0.917969,163811200,0.0255,0.7601,0.877,0.78,0.6831,-0.0184,0.0085,-0.0269
1/3/2000,0.936384,1.004464,0.907924,0.999442,535796800,0.0818,0.7633,0.872,0.778,0.6858,-0.0145,0.0014,-0.0159
1/4/2000,0.966518,0.987723,0.90346,0.915179,512377600,0.0814,0.7686,0.8551,0.773,0.6925,-0.012,-0.0042,-0.0078
1/5/2000,0.926339,0.987165,0.919643,0.928571,778321600,0.061,0.7702,0.8299,0.768,0.7073,-0.0129,-0.0087,-0.0042
1/6/2000,0.947545,0.955357,0.848214,0.848214,767972800,0.0908,0.7733,0.8202,0.762,0.7055,-0.0111,-0.0116,0.0004
1/7/2000,0.861607,0.901786,0.852679,0.888393,460734400,0.0454,0.7692,0.8161,0.76,0.7053,-0.0109,-0.0131,0.0022
1/10/2000,0.910714,0.912946,0.845982,0.872768,505064000,0.0568,0.7695,0.8141,0.758,0.7033,-0.0111,-0.0136,0.0025
1/11/2000,0.856585,0.887277,0.808036,0.828125,441548800,0.0671,0.7653,0.8169,0.756,0.6958,-0.0101,-0.0132,0.0031
